player,year,draft_pick,height_no_shoes,height_with_shoes,wingspan,standing_reach,vertical_max,vertical_max_reach,vertical_no_step,vertical_no_step_reach,weight,body_fat,hand_length,hand_width,agility,sprint
Dakari Johnson,2015,48,83,83.75,86,112,25,137,22.5,134.5,265,14.9,9.25,10.5,11.5,3.62
Delon Wright,2015,20,76.25,77.5,79.5,101.5,31,132.5,29.5,131,181,6.6,8,8.5,11.21,3.29
Devin Booker,2015,13,76.5,77.75,80.25,102.5,34.5,137,27.5,130,206,8.3,8.75,9,10.22,3.28
Frank Kaminsky,2015,9,83.75,84.75,83,109.5,NULL,NULL,NULL,NULL,231,9.4,8.5,9.5,NULL,NULL
J.P. Tokoto,2015,58,77.25,78.25,82,100.5,40,140.5,34.5,135,196,4.1,8,8.75,11.01,3.27
Jarell Martin,2015,25,80,81.25,81.75,106.5,34.5,141,28.5,135,239,10.1,8.25,-1,11.12,3.27
Jerian Grant,2015,19,75.25,76.25,79.5,100,NULL,NULL,NULL,NULL,198,5.6,8.25,8.5,NULL,NULL
Jordan Mickey,2015,33,79,80.25,87.25,106,37.5,143.5,33,139,238,7.2,8.75,9.5,11.8,3.28
Joseph Young,2015,43,72.75,74,77,94.5,40.5,135,34.5,129,182,4.1,8.25,7.5,10.74,3.25
Justin Anderson,2015,21,77.25,78.25,83.75,101,43,144,38,139,231,5,8.5,9.5,11.1,3.22
Justise Winslow,2015,10,76.5,78.5,82.25,104.5,NULL,NULL,NULL,NULL,222,5.3,8.5,9.25,NULL,NULL
Kelly Oubre,2015,15,77.75,78.75,86.25,102.5,37,139.5,34.5,137,203,5.7,9,8.75,11.1,3.32
Kevon Looney,2015,30,80,81.25,87.5,110,NULL,NULL,NULL,NULL,222,11.9,9.5,9.25,NULL,NULL
Larry Nance,2015,27,79.5,80.5,85.5,108,37.5,145.5,29,137,227,6.4,9,9.75,10.89,3.25
Marcus Thornton,2015,45,73.75,74.75,79.75,97.5,43,140.5,34.5,132,177,5.3,8.25,8.5,10.96,3.02
Montrezl Harrell,2015,32,79,79.5,88.25,109,NULL,NULL,NULL,NULL,253,11.9,9,9.75,NULL,NULL
Myles Turner,2015,11,81.75,83.5,88,112,NULL,NULL,NULL,NULL,239,9.3,9.25,9.25,NULL,NULL
Norman Powell,2015,46,75,76.25,82.75,102.5,40.5,143,32.5,135,215,6.4,9.25,9,10.76,3.2
Olivier Hanlan,2015,42,75.25,76.25,78.5,100,34,134,28,128,186,4.3,8,8.75,11.36,3.25
Pat Connaughton,2015,41,76,77.25,80.75,96,44,140,37.5,133.5,215,10.2,8.5,9.25,10.74,3.2
R.J. Hunter,2015,28,76.5,78,82.5,104,33.5,137.5,27.5,131.5,185,6,8.5,8.25,10.97,3.26
Rakeem Christmas,2015,36,80.25,81.75,89.25,110.5,NULL,NULL,29,139.5,243,9.6,9.25,-1,11.57,3.47
Rashad Vaughn,2015,17,75.75,77,79,101,34,135,28,129,199,6.2,8,8.5,11.41,3.21
Richaun Holmes,2015,37,80.25,81.5,85.5,108,36,144,32.5,140.5,243,8.8,8.5,8.5,11.37,3.32
Rondae Hollis-Jefferson,2015,23,77.5,79,86,104,38,142,32,136,211,5,8.75,9.75,10.51,3.12
Sam Dekker,2015,18,79.75,81,83.5,106,34.5,140.5,25.5,131.5,219,7.5,8.5,9.25,10.71,3.28
Stanley Johnson,2015,8,77,78.5,83.5,102,NULL,NULL,NULL,NULL,242,7.5,9,9,NULL,NULL
Terry Rozier,2015,16,72.75,74.25,80.25,98.5,38,136.5,33,131.5,190,5.6,8.25,8.75,10.88,3.15
Trey Lyles,2015,12,81,82.25,85.5,108,NULL,NULL,NULL,NULL,241,12.1,9.25,10.25,NULL,NULL
Tyler Harvey,2015,51,74.75,76,77.5,98.5,28.5,127,26,124.5,181,9.2,7.75,8.75,10.52,3.44
Tyus Jones,2015,24,72.25,74,77,97,32.5,129.5,26.5,123.5,185,6.5,8.25,8.75,11.89,3.32
Willie Cauley-Stein,2015,6,83.25,84.5,87,111,NULL,NULL,NULL,NULL,242,6.3,9.5,9,NULL,NULL
Ben Bentil,2016,51,79.25,80.25,85.5,105,33,138,29,134,229,9.7,9.5,10,11.16,3.3
Brice Johnson,2016,25,81,82.5,84.5,106.5,38,144.5,33.5,140,209,7.5,9,8.25,11.88,3.2
Buddy Hield,2016,6,75.75,77,81.25,101,NULL,NULL,NULL,NULL,212,6.1,8.5,9,NULL,NULL
Caris LeVert,2016,20,77.75,79,82,101,NULL,NULL,NULL,NULL,191,7.6,8.5,9.25,NULL,NULL
Cheick Diallo,2016,33,79.5,81,88.5,107.5,35,142.5,31,138.5,219,5.6,8.5,9.75,11.24,3.26
Chinanu Onuaku,2016,37,81,82,86.75,108.5,33.5,142,27.5,136,245,8.6,9,8,11.65,3.5
Damian Jones,2016,30,82.25,83.5,87.75,107,37,144,36,143,244,6.6,8.75,10.5,11.35,3.2
Daniel Hamilton,2016,56,78.25,80,81,103.5,29,132.5,26,129.5,197,6,9,8.5,11.48,3.4
DeAndre Bembry,2016,21,76.25,77.75,81.25,101,38,139,32,133,207,7,8,9.25,10.9,3.17
Demetrius Jackson,2016,45,72,73.25,77.5,93,43.5,136.5,37.5,130.5,194,6.5,8.25,9,10.81,3.25
Denzel Valentine,2016,14,76,77.75,82.75,102,32,134,27,129,210,9.2,8.5,9.75,10.51,3.46
Deyonta Davis,2016,31,81.25,82.5,86.5,108.5,NULL,NULL,NULL,NULL,237,9.7,9,9.25,NULL,NULL
Diamond Stone,2016,40,81,82.25,86.75,108.5,29.5,138,27,135.5,254,12.9,8.5,7.75,12.02,3.5
Georges Niang,2016,50,78.75,80.5,82,103,31,134,25,128,231,10.1,9.25,9.25,11.64,3.49
Henry Ellenson,2016,18,82,83.5,86.25,108,NULL,NULL,NULL,NULL,242,11.2,8.5,9.75,NULL,NULL
Isaiah Cousins,2016,59,75.25,76.5,78.25,98.5,37,135.5,30.5,129,194,4.8,8.25,8.75,10.79,3.24
Isaiah Whitehead,2016,42,75.25,76.5,80.75,100,35.5,135.5,27.5,127.5,210,9.3,8.5,8.75,11.65,3.34
Jake Layman,2016,47,80,81.25,81.25,102,39.5,141.5,33,135,209,7.1,8.25,9.25,11.35,3.24
Jakob Poeltl,2016,9,84.25,85,86.75,111.5,NULL,NULL,NULL,NULL,239,5.8,9.25,10.25,NULL,NULL
Jaylen Brown,2016,3,77.25,78.75,83.75,102.5,NULL,NULL,NULL,NULL,223,5.1,8.75,9,NULL,NULL
Joel Bolomboy,2016,52,79.5,81,85.75,103.5,40.5,144,37.5,141,224,5.2,9,10.25,10.26,3.17
Kay Felder,2016,54,68.25,69.5,74.5,88.5,44,132.5,35.5,124,177,5.8,8.25,8.5,11.52,3.15
Kris Dunn,2016,5,75,76.25,81.5,100,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,NULL,NULL
Malachi Richardson,2016,22,76.75,78.25,84,101.5,38,139.5,33,134.5,200,7,8.75,10,10.56,3.33
Malcolm Brogdon,2016,36,75.75,77.5,82.5,98,35.5,133.5,30.5,128.5,223,5.4,9,10.25,10.77,3.31
Malik Beasley,2016,19,75.5,76.5,79,100.5,NULL,NULL,NULL,NULL,190,6.9,8.5,9,NULL,NULL
Marcus Paige,2016,55,72.5,73.75,78.25,97,39.5,136.5,33.5,130.5,164,4.3,7.75,8.75,10.82,3.15
Marquese Chriss,2016,8,80.75,82,84.25,105,38.5,143.5,32.5,137.5,233,8.5,9,9,11.93,3.26
Michael Gbinije,2016,49,77.5,78.75,79.5,101,37.5,138.5,33.5,134.5,205,5.4,8,9,11,3.12
Pascal Siakam,2016,27,80.25,81.5,87.25,107.5,36.5,144,30.5,138,227,5.2,9.25,10,11.25,3.41
Patrick McCaw,2016,38,77.25,78.75,82,100.5,38,138.5,30,130.5,181,4.7,8.75,8.75,11.01,3.3
Skal Labissiere,2016,28,82.5,83.75,86.5,105.5,NULL,NULL,NULL,NULL,216,5.7,8.75,9,NULL,NULL
Stephen Zimmerman,2016,41,82.25,83.75,87.25,108.5,31,139.5,26,134.5,234,11.2,9,9,12.08,3.43
Taurean Prince,2016,12,78.5,79.75,83.5,102,36,138,34,136,220,6.5,9,8.5,10.96,3.24
Thon Maker,2016,10,83.75,84.75,87,110.5,36.5,147,32,142.5,216,6.1,8.75,9.5,11.15,3.33
Tyler Ulis,2016,34,68.75,70,74,88.5,38,126.5,32.5,121,149,5.2,7.5,7.5,10.8,3.2
Wade Baldwin,2016,17,74.5,76,83.25,100,38,138,32.5,132.5,202,5.2,9,9.75,10.45,3.19
Zhou Qi,2016,43,85.25,86.25,91.75,112.5,32,144.5,31.5,144,218,4.9,9.25,9.5,11.27,3.46
