,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
0,Aaron Craft,2014,,72.75,73.75,74,94.5,32,126.5,29,123.5,192,6.1,7.75,8.5,,10.78,3.26
1,Aaron Gordon,2014,4,79.5,80.75,83.75,105,39,144,32.5,137.5,220,5.1,8.75,10.5,,10.81,3.27
2,Adreian Payne,2014,15,81,81.75,88,109,,,,,239,7.6,9.25,9.5,,,
3,Alec Brown,2014,50,84.25,85.25,85.5,109,30,139,27,136,231,7.7,9.25,8.75,,12.05,3.48
4,Alex Kirk,2014,,81.25,82.75,87.5,109.5,31.5,141,28.5,138,252,13.6,9.25,10.5,,11.2,3.48
5,C.J. Fair,2014,,78.5,80,81.5,104,35,139,27,131,218,5.1,9,9,,11,3.32
6,C.J. Wilcox,2014,28,75.5,77,81.75,100.5,37.5,138,31,131.5,201,6.5,8.75,9,,11.3,3.22
7,Cameron Bairstow,2014,49,80.75,81.75,84.75,107,33.5,140.5,31,138,252,8.7,8.75,9,,11.39,3.37
8,Cleanthony Early,2014,34,78,79.25,82.75,101.5,40,141.5,34,135.5,209,4.5,8.5,9,,11.15,3.18
9,Cory Jefferson,2014,60,79.75,81,84.5,105,37.5,142.5,33,138,218,5.3,8.75,9.75,,12.63,3.36
10,Dante Exum,2014,5,76.5,78,81.5,103,34.5,137.5,31.5,134.5,196,6.4,8.5,9.5,,10.75,3.19
11,DeAndre Daniels,2014,37,79.25,80.5,86,106.5,32,138.5,26.5,133,196,3.9,9.25,10.5,,11.46,3.44
12,DeAndre Kane,2014,,74.75,76.5,80,99,35.5,134.5,31.5,130.5,200,5,8.25,9,,10.95,3.16
13,Deonte Burton,2014,,72,73.25,79,97.5,39.5,137,29,126.5,193,7.7,8.25,8,,11.28,3.28
14,Devyn Marble,2014,56,77,78.5,81,102,35,137,29,131,192,6.9,8.25,8.5,,11.32,3.28
15,Doug McDermott,2014,11,78.25,79.75,81.25,103,36.5,139.5,28.5,131.5,218,7.1,8.75,9.75,,11.1,3.29
16,Dwight Powell,2014,45,81.5,83,84.5,105,35,140,28.5,133.5,234,6.2,9,9.25,,11.28,3.2
17,Elfrid Payton,2014,10,74.5,75.75,80,98.5,35.5,134,31.5,130,185,5.7,8.75,9,,11.06,3.23
18,Gary Harris,2014,19,74.5,76.5,78.75,96,,,,,205,4.6,8.5,9.5,,,
19,Glenn Robinson,2014,40,77.5,78.75,82,100.5,41.5,142,36.5,137,211,5.1,9,9.5,,11.22,3.15
20,Isaiah Austin,2014,,83.5,84.5,88.5,112.5,29.5,142,26.5,139,220,7.5,8.75,8.75,,11,3.55
21,Jabari Brown,2014,,75,76.25,80.25,100,32,132,28,128,202,6.1,9,9.25,,11.6,3.5
22,Jahii Carson,2014,,69.75,71,74,93,43.5,136.5,33.5,126.5,180,6.5,7.5,8.75,,11.26,3.24
23,James McAdoo,2014,,79.5,80.75,86.25,106.5,34,140.5,29.5,136,228,6.2,9.25,9,,11.61,3.28
24,James Young,2014,17,77.25,78.75,84,104,35.5,139.5,28,132,213,5.1,9,9.5,,,
25,Jarnell Stokes,2014,35,79,80.5,85.25,103.5,36,139.5,31,134.5,263,8.2,9.75,10.5,,11.92,3.26
26,Jerami Grant,2014,39,78.5,79.75,86.75,107,,,,,214,3.8,9.25,9.25,,,
27,Joe Harris,2014,33,76.75,78.25,78,100,33.5,133.5,28.5,128.5,215,6.2,8.5,9.75,,11.11,3.31
28,Johnny O'Bryant,2014,36,79.25,80.5,86.25,105,35.5,140.5,31,136,257,10.8,9.25,9.5,,11.57,3.45
29,Jordan Adams,2014,22,75.5,76.75,82,102,29.5,131.5,24.5,126.5,209,10.8,8.5,7.5,,12.13,3.5
30,Jordan Bachynski,2014,,85.25,86,88,108.5,33,141.5,29,137.5,254,7.5,9.25,10,,12.15,3.36
31,Jordan Clarkson,2014,46,75.25,77,80,98,38.5,136.5,33,131,186,4.3,8.25,9,,10.76,3.28
32,Jordan McRae,2014,58,75.75,77.25,84.5,104,34.5,138.5,27.5,131.5,179,5.2,8.75,8.5,,11.07,3.39
33,Julius Randle,2014,7,79.75,81,84,105.5,35.5,141,29,134.5,250,9.4,8.75,8.25,,11.45,3.27
34,K.J. McDaniels,2014,32,76.5,78,83.25,102,37,139,33,135,196,4.5,8.75,9.75,,12.71,3.1
35,Kendall Williams,2014,,74.25,75.75,77.5,99,33,132,27,126,183,7.2,8,7.75,,10.83,
36,Khem Birch,2014,,79.5,81.25,85,107,35.5,142.5,30.5,137.5,209,6,9,8.5,,11.6,3.26
37,Kyle Anderson,2014,30,79.5,80.5,86.75,107.5,,,,,230,13.4,8.25,8.75,,,
38,LaQuinton Ross,2014,,78.5,79.5,85.75,106,31,137,25,131,239,16.3,8.75,9.75,,11.97,3.44
39,Lamar Patterson,2014,48,76,77.25,83,101,32.5,133.5,27.5,128.5,226,10.8,9,9.25,,11.63,3.45
40,Marcus Smart,2014,6,74,75.25,81.25,99,36,135,33,132,227,10.6,9,8.75,,10.82,3.26
41,Markel Brown,2014,44,74.5,75.5,80.75,100,43.5,143.5,36.5,136.5,184,4.2,8.25,9.75,,12.62,3.18
42,Melvin Ejim,2014,,77.25,79,83.25,103.5,35,138.5,29.5,133,219,6.5,8.75,9.25,,11.55,3.14
43,Nick Johnson,2014,42,73.5,75,79.25,96.5,41.5,138,33.5,130,198,6.1,8.75,9.75,,10.8,3.27
44,Nik Stauskas,2014,8,77.25,78.5,79.75,102,35.5,137.5,29,131,207,12.1,8.5,8.5,,10.79,3.27
45,Noah Vonleh,2014,9,80,81.5,88.25,108,37,145,31,139,247,7.3,9.75,11.75,,11.45,3.28
46,P.J. Hairston,2014,26,76.25,77.25,81,101,37,138,32,133,229,8.2,8.75,9.75,,11.12,3.32
