,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
47,Patric Young,2014,,80.5,82,85.75,103.5,37.5,141,32,135.5,247,5.5,9.25,9.5,,11.18,3.43
48,Rodney Hood,2014,23,79.25,80.5,80.5,103,36,139,29,132,208,7.5,8.5,8.5,,11.21,3.38
49,Russ Smith,2014,47,71.5,72.75,75.5,95,34,129,29.5,124.5,160,3.5,8.25,8.5,,11.57,3.27
50,Sean Kilpatrick,2014,,74.5,76.25,79,99,,,,,219,9.2,9,9,,,
51,Semaj Christon,2014,55,73.5,75.25,78.5,99,36.5,135.5,30.5,129.5,186,5.3,8.5,8.25,,11.55,3.32
52,Shabazz Napier,2014,24,71,73,75.25,93,37.5,130.5,30.5,123.5,175,7.4,8.25,8.5,,11.6,3.2
53,Spencer Dinwiddie,2014,38,76.5,78,80.25,103,,,,,205,5.4,8.25,9,,,
54,T.J. Warren,2014,14,79,80.25,82.25,104,35.5,139.5,27,131,220,8,8.75,9,,11.1,3.26
55,Thanasis Antetokounmpo,2014,51,77.25,78.25,84,104.5,39.5,144,31.5,136,205,6.1,9,9.75,,11.39,3.18
56,Tyler Ennis,2014,18,73,74.5,79.25,98,36,134,29,127,182,6.2,8.25,8.75,,11.12,3.3
57,Xavier Thames,2014,59,74.25,75.5,76,96,32.5,128.5,29,125,187,6.4,8.25,9,,11.48,3.48
58,Zach LaVine,2014,13,76.5,77.75,80.25,100,41.5,141.5,33.5,133.5,181,4.7,8.25,8.75,,10.42,3.19
