,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
0,A.J. English,2016,,74,75,82,98.5,35.5,134,29.5,128,182,5.3,8.75,8.5,,12.27,3.28
1,Ben Bentil,2016,51,79.25,80.25,85.5,105,33,138,29,134,229,9.7,9.5,10,,11.16,3.3
2,Brice Johnson,2016,25,81,82.5,84.5,106.5,38,144.5,33.5,140,209,7.5,9,8.25,,11.88,3.2
3,Buddy Hield,2016,6,75.75,77,81.25,101,,,,,212,6.1,8.5,9,,,
4,Caleb Swanigan,2016,,79.5,80.5,87.5,107,29,136,26,133,247,12.6,9,10.25,,12.8,
5,Caris LeVert,2016,20,77.75,79,82,101,,,,,191,7.6,8.5,9.25,,,
6,Cat Barber,2016,,73.5,74.75,77.5,95.5,,,,,173,4.5,8,8.5,,,
7,Cheick Diallo,2016,33,79.5,81,88.5,107.5,35,142.5,31,138.5,219,5.6,8.5,9.75,,11.24,3.26
8,Chinanu Onuaku,2016,37,81,82,86.75,108.5,33.5,142,27.5,136,245,8.6,9,8,,11.65,3.5
9,Damian Jones,2016,30,82.25,83.5,87.75,107,37,144,36,143,244,6.6,8.75,10.5,,11.35,3.2
10,Daniel Hamilton,2016,56,78.25,80,81,103.5,29,132.5,26,129.5,197,6,9,8.5,,11.48,3.4
11,DeAndre Bembry,2016,21,76.25,77.75,81.25,101,38,139,32,133,207,7,8,9.25,,10.9,3.17
12,Dedric Lawson,2016,,79,80,86.5,106.5,28,134.5,22.5,129,225,11.1,9.5,9.5,,12.48,3.65
13,Demetrius Jackson,2016,45,72,73.25,77.5,93,43.5,136.5,37.5,130.5,194,6.5,8.25,9,,10.81,3.25
14,Denzel Valentine,2016,14,76,77.75,82.75,102,32,134,27,129,210,9.2,8.5,9.75,,10.51,3.46
15,Deyonta Davis,2016,31,81.25,82.5,86.5,108.5,,,,,237,9.7,9,9.25,,,
16,Diamond Stone,2016,40,81,82.25,86.75,108.5,29.5,138,27,135.5,254,12.9,8.5,7.75,,12.02,3.5
17,Dorian Finney-Smith,2016,,78.5,79.75,83.75,105.5,35.5,141,32.5,138,213,6.5,9,9.75,,11.01,3.27
18,Elgin Cook,2016,,77,78.25,82,100.5,,,,,210,6.4,8.5,10.25,,,
19,Gary Payton II,2016,,74,75,80,99.5,38.5,138,31.5,131,184,4,8.75,9.5,,11.57,3.23
20,Georges Niang,2016,50,78.75,80.5,82,103,31,134,25,128,231,10.1,9.25,9.25,,11.64,3.49
21,Henry Ellenson,2016,18,82,83.5,86.25,108,,,,,242,11.2,8.5,9.75,,,
22,Isaiah Cousins,2016,59,75.25,76.5,78.25,98.5,37,135.5,30.5,129,194,4.8,8.25,8.75,,10.79,3.24
23,Isaiah Miles,2016,,78.75,79.75,82.5,105,31.5,136.5,24,129,220,9.6,9,9.5,,11.76,3.39
24,Isaiah Whitehead,2016,42,75.25,76.5,80.75,100,35.5,135.5,27.5,127.5,210,9.3,8.5,8.75,,11.65,3.34
25,Jake Layman,2016,47,80,81.25,81.25,102,39.5,141.5,33,135,209,7.1,8.25,9.25,,11.35,3.24
26,Jakob Poeltl,2016,9,84.25,85,86.75,111.5,,,,,239,5.8,9.25,10.25,,,
27,Jaron Blossomgame,2016,,78.25,79.25,82,102,41,143,35,137,214,5.3,8.5,10,,11.53,3.2
28,Jarrod Uthoff,2016,,80.5,81.75,83.5,104,34.5,138.5,29,133,214,6,8.75,9,,11.52,3.5
29,Jaylen Brown,2016,3,77.25,78.75,83.75,102.5,,,,,223,5.1,8.75,9,,,
30,Joel Bolomboy,2016,52,79.5,81,85.75,103.5,40.5,144,37.5,141,224,5.2,9,10.25,,10.26,3.17
31,Josh Hart,2016,,76,77.5,80.5,99.5,38.5,138,29.5,129,204,5.8,8.5,9.25,,11.15,3.2
32,Justin Jackson,2016,,79,80.25,82.75,103.5,34.5,138,29.5,133,193,7.6,8.75,8.75,,11.32,3.26
33,Kay Felder,2016,54,68.25,69.5,74.5,88.5,44,132.5,35.5,124,177,5.8,8.25,8.5,,11.52,3.15
34,Kris Dunn,2016,5,75,76.25,81.5,100,,,,,,,-1,-1,,,
35,Kyle Wiltjer,2016,,80.75,82,84.25,102.5,35.5,138,28.5,131,243,15.3,8.25,9.5,,11.35,3.48
36,Malachi Richardson,2016,22,76.75,78.25,84,101.5,38,139.5,33,134.5,200,7,8.75,10,,10.56,3.33
37,Malcolm Brogdon,2016,36,75.75,77.5,82.5,98,35.5,133.5,30.5,128.5,223,5.4,9,10.25,,10.77,3.31
38,Malik Beasley,2016,19,75.5,76.5,79,100.5,,,,,190,6.9,8.5,9,,,
39,Malik Newman,2016,,74.25,75.5,77.75,97.5,35.5,133,30,127.5,182,5.6,8.25,9.25,,10.88,3.28
40,Marcus Lee,2016,,81,82.25,87,107.5,35.5,143,28.5,136,211,5.4,9,9,,11.68,3.25
41,Marcus Paige,2016,55,72.5,73.75,78.25,97,39.5,136.5,33.5,130.5,164,4.3,7.75,8.75,,10.82,3.15
42,Marquese Chriss,2016,8,80.75,82,84.25,105,38.5,143.5,32.5,137.5,233,8.5,9,9,,11.93,3.26
43,Melo Trimble,2016,,73.25,74.5,74,92.5,35.5,128,26.5,119,192,8.4,8,8.75,,10.57,3.2
44,Michael Gbinije,2016,49,77.5,78.75,79.5,101,37.5,138.5,33.5,134.5,205,5.4,8,9,,11,3.12
45,Nigel Hayes,2016,,78.25,79.25,87,107.5,28.5,136,25.5,133,245,10.9,8.5,9.5,,12.11,3.2
46,Pascal Siakam,2016,27,80.25,81.5,87.25,107.5,36.5,144,30.5,138,227,5.2,9.25,10,,11.25,3.41
47,Patrick McCaw,2016,38,77.25,78.75,82,100.5,38,138.5,30,130.5,181,4.7,8.75,8.75,,11.01,3.3
48,Perry Ellis,2016,,79,80.25,82.25,102,38,140,32,134,218,4.6,8,8.5,,10.73,3.13
49,Robert Carter,2016,,78.75,80.5,87.25,106.5,30.5,137,24.5,131,251,12.5,8.75,9.5,,11.97,3.65
50,Ron Baker,2016,,75.25,76.25,81.75,97.5,35.5,133,30,127.5,212,7.9,8.75,9.5,,10.77,3.45
51,Sheldon McClellan,2016,,77,78.25,79,99.5,41.5,141,35,134.5,198,4.8,8,8,,10.45,3.26
52,Skal Labissiere,2016,28,82.5,83.75,86.5,105.5,,,,,216,5.7,8.75,9,,,
53,Stephen Zimmerman,2016,41,82.25,83.75,87.25,108.5,31,139.5,26,134.5,234,11.2,9,9,,12.08,3.43
54,Taurean Prince,2016,12,78.5,79.75,83.5,102,36,138,34,136,220,6.5,9,8.5,,10.96,3.24
55,Thon Maker,2016,10,83.75,84.75,87,110.5,36.5,147,32,142.5,216,6.1,8.75,9.5,,11.15,3.33
56,Troy Williams,2016,,77.75,78.75,80.25,102,36,138,30,132,218,10,8.25,9.25,,10.72,3.35
57,Tyler Ulis,2016,34,68.75,70,74,88.5,38,126.5,32.5,121,149,5.2,7.5,7.5,,10.8,3.2
58,Wade Baldwin,2016,17,74.5,76,83.25,100,38,138,32.5,132.5,202,5.2,9,9.75,,10.45,3.19
59,Wayne Selden,2016,,76.25,77.75,82.5,101,,,,,232,7.3,9,9.25,,,
60,Zhou Qi,2016,43,85.25,86.25,91.75,112.5,32,144.5,31.5,144,218,4.9,9.25,9.5,,11.27,3.46
