,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
16,Dakari Johnson,2015,48,83,83.75,86,112,25,137,22.5,134.5,265,14.9,9.25,10.5,4,11.5,3.62
17,Delon Wright,2015,20,76.25,77.5,79.5,101.5,31,132.5,29.5,131,181,6.6,8,8.5,4,11.21,3.29
18,Devin Booker,2015,13,76.5,77.75,80.25,102.5,34.5,137,27.5,130,206,8.3,8.75,9,8,10.22,3.28
19,Dez Wells,2015,,75,76,81.5,100.5,39,139.5,31.5,132,209,8.1,8.75,9.75,15,10.75,3.2
20,Frank Kaminsky,2015,9,83.75,84.75,83,109.5,,,,,231,9.4,8.5,9.5,,,
21,George De Paula,2015,,76.5,77.5,84,104,34,138,28,132,197,6.7,9.5,10,6,11.38,3.45
22,J.P. Tokoto,2015,58,77.25,78.25,82,100.5,40,140.5,34.5,135,196,4.1,8,8.75,12,11.01,3.27
23,Jarell Martin,2015,25,80,81.25,81.75,106.5,34.5,141,28.5,135,239,10.1,8.25,-1,19,11.12,3.27
24,Jerian Grant,2015,19,75.25,76.25,79.5,100,,,,,198,5.6,8.25,8.5,,,
25,Jonathan Holmes,2015,,80.25,81.25,83.5,107.5,31,138.5,25.5,133,242,7.2,8.25,9.5,,10.97,3.51
26,Jordan Mickey,2015,33,79,80.25,87.25,106,37.5,143.5,33,139,238,7.2,8.75,9.5,9,11.8,3.28
27,Joseph Young,2015,43,72.75,74,77,94.5,40.5,135,34.5,129,182,4.1,8.25,7.5,9,10.74,3.25
28,Justin Anderson,2015,21,77.25,78.25,83.75,101,43,144,38,139,231,5,8.5,9.5,12,11.1,3.22
29,Justise Winslow,2015,10,76.5,78.5,82.25,104.5,,,,,222,5.3,8.5,9.25,,,
30,Keifer Sykes,2015,,70.5,71.75,74,93,43,136,34,127,167,5,8.5,9.5,8,10.5,3.13
31,Kelly Oubre,2015,15,77.75,78.75,86.25,102.5,37,139.5,34.5,137,203,5.7,9,8.75,7,11.1,3.32
32,Kevon Looney,2015,30,80,81.25,87.5,110,,,,,222,11.9,9.5,9.25,,,
33,Larry Nance,2015,27,79.5,80.5,85.5,108,37.5,145.5,29,137,227,6.4,9,9.75,10,10.89,3.25
34,Marcus Thornton,2015,45,73.75,74.75,79.75,97.5,43,140.5,34.5,132,177,5.3,8.25,8.5,3,10.96,3.02
35,Michael Frazier,2015,,75.75,76.25,80,101.5,35,136.5,24,125.5,199,7.4,8.25,9.25,10,10.8,3.32
36,Michael Qualls,2015,,76,77,84.25,104.5,39.5,144,34,138.5,201,4,9,10.25,9,11.88,
37,Montrezl Harrell,2015,32,79,79.5,88.25,109,,,,,253,11.9,9,9.75,,,
38,Mouhammadou Jaiteh,2015,,81.5,82.5,87.25,110.5,31.5,142,24.5,135,247,9.9,9,9.25,7,12.05,3.38
39,Myles Turner,2015,11,81.75,83.5,88,112,,,,,239,9.3,9.25,9.25,,,
40,Norman Powell,2015,46,75,76.25,82.75,102.5,40.5,143,32.5,135,215,6.4,9.25,9,5,10.76,3.2
41,Olivier Hanlan,2015,42,75.25,76.25,78.5,100,34,134,28,128,186,4.3,8,8.75,19,11.36,3.25
42,Pat Connaughton,2015,41,76,77.25,80.75,96,44,140,37.5,133.5,215,10.2,8.5,9.25,13,10.74,3.2
